时间,比利时,丹麦,英国,德国,法国,爱尔兰,意大利,卢森堡,荷兰,希腊,葡萄牙,西班牙,阿尔巴尼亚,安道尔,奥地利,保加利亚,芬兰,匈牙利,冰岛,列支敦士登,马耳他,摩纳哥,挪威,波兰,罗马尼亚,圣马力诺,瑞典,瑞士,爱沙尼亚,拉脱维亚,立陶宛,格鲁吉亚,亚美尼亚,阿塞拜疆,白俄罗斯,摩尔多瓦,俄罗斯联邦,乌克兰,南斯拉夫(塞尔维亚和黑山),斯洛文尼亚,克罗地亚,捷克,斯洛伐克,前南马其顿,波黑,塞尔维亚,黑山,海峡群岛,马恩岛
2005年,37850,49610,42770,35880,36000,44600,32390,66390,42390,22760,18550,25930,2670,40040,38500,3800,40100,10450,51090,92360,15660,128380,63790,7340,3930,41830,45350,61550,9710,7360,7600,1410,1520,1270,2820,890,4450,1540,3220,18440,9870,12380,11320,3010,3070,3630,3660,55320,38690
2004年,32970,42770,37710,31730,31500,37790,28220,55890,37300,19580,16120,22120,2150,33610,33620,3050,35200,8700,41400,78410,14300,113040,54110,6260,3010,36960,39390,53810,7480,5820,6040,1120,1160,950,2180,730,3410,1270,2700,15700,8270,10210,9000,2590,2520,3070,3100,49540,33330
2003年,27120,34850,32000,26230,26020,30040,23270,43180,30700,15700,13230,18060,1690,27150,27940,2360,28680,6680,33110,68220,12510,94140,44760,5490,2330,30370,32410,45630,5710,4670,4680,910,950,820,1630,570,2580,980,1930,12700,6490,8060,6930,2110,2020,2260,2440,42780,27070
2002年,24130,30870,28900,23710,23180,24840,20640,40500,26800,13150,11730,15580,1410,22590,24950,1960,25510,5310,30320,64840,11380,84050,39900,4890,1960,26090,28740,39730,4620,3930,3820,770,800,720,1380,460,2100,790,1430,10990,5470,6620,6000,1840,1740,1430,1960,40370,23340
2001年,24530,31440,28620,24790,23940,24160,21080,42140,27180,13070,11800,15540,1330,21000,25270,1770,25780,4820,30430,68010,11160,86410,38250,4700,1780,26370,29390,40950,4320,3600,3460,720,710,660,1300,400,1780,730,1290,11000,5190,6320,5710,1810,1590,1450,,41270,22330
2000年,26040,32660,28880,26210,25150,24170,21820,42320,28560,13330,12140,15790,1170,19930,26690,1660,26420,4660,31460,78630,10920,90840,36560,4660,1720,,31220,43490,4150,3310,3220,750,660,610,1380,370,1710,700,1250,11350,5290,6320,5520,1860,1470,1530,,42430,21920
1999年,26180,33130,27710,26880,25560,22650,21900,42300,28370,13380,12240,15480,1010,19250,27210,1490,26040,4540,30180,78470,10510,92450,35550,4390,1620,,30910,43130,3880,2990,2990,780,610,570,1400,400,1750,760,1070,11370,5110,6070,5360,1830,1380,2390,,,21350
1998年,26720,33580,26300,27990,25970,21360,22130,42810,27930,13810,12170,15460,900,19410,27920,1390,25790,4470,29020,77530,9810,95040,36110,4330,1590,,31120,44960,3820,2870,2860,820,590,510,1550,460,2130,850,1430,11050,5440,6060,5410,1940,1310,2800,,,18820
1997年,28650,35320,24760,30200,27090,20740,22240,45980,29490,14100,12350,15830,830,20180,29550,1330,26650,4450,28300,80120,9890,99660,37920,4190,1600,,31380,48040,3590,2720,2600,790,560,450,1530,500,2650,890,1540,11300,5470,6110,5400,2140,1000,2850,,,17050
1996年,28760,35030,22580,30910,27270,19080,21760,44220,29400,13430,12080,15580,920,18990,30050,1300,24970,4410,27180,78640,9490,101110,35800,3770,1650,,30390,48350,3320,2290,2300,650,520,400,1450,480,2610,860,,9970,4720,5930,5000,2110,750,,,,16340
1995年,27200,32820,20990,29560,25910,16920,20610,41750,27340,12410,11220,14840,660,17830,28090,1360,22030,4300,25350,70160,8990,97020,32700,3180,1500,,28070,45400,3020,2070,2100,540,450,400,1370,470,2640,920,,8510,3530,5090,4200,1720,,,,,
